1,,,,REGION I (Ilocos Region)
1.28,,,1st ,ILOCOS NORTE
1.28.1,1st,,5th ,ADAMS
1.28.2,1st,,3rd ,BACARRA
1.28.3,2nd,,3rd ,BADOC
1.28.4,1st,,4th ,BANGUI
1.28.5,2nd,,1st,CITY OF BATAC
1.28.6,1st,,5th ,BURGOS
1.28.7,1st,,5th ,CARASI
1.28.8,2nd,,5th ,CURRIMAO
1.28.9,2nd,,3rd ,DINGRAS
1.28.10,1st,,5th ,DUMALNEG
1.28.11,2nd,,4th ,BANNA (ESPIRITU)
1.28.12,1st,CC,3rd ,LAOAG CITY (Capital)
1.28.13,2nd,,4th ,MARCOS
1.28.14,2nd,,4th ,NUEVA ERA
1.28.15,1st,,4th ,PAGUDPUD
1.28.16,2nd,,4th ,PAOAY
1.28.17,1st,,4th ,PASUQUIN
1.28.18,1st,,4th ,PIDDIG
1.28.19,2nd,,4th ,PINILI
1.28.20,2nd,,3rd ,SAN NICOLAS
1.28.21,1st,,4th ,SARRAT
1.28.22,2nd,,4th ,SOLSONA
1.28.23,1st,,2nd ,VINTAR
1.29,,,1st ,ILOCOS SUR
1.29.1,2nd,,4th ,ALILEM
1.29.2,2nd,,5th ,BANAYOYO
1.29.3,1st,,4th ,BANTAY
1.29.4,2nd,,4th ,BURGOS
1.29.5,1st,,2nd ,CABUGAO
1.29.6,2nd,CC,4th ,CITY OF CANDON
1.29.7,1st,,5th ,CAOAYAN
1.29.8,2nd,,4th ,CERVANTES
1.29.9,2nd,,4th ,GALIMUYOD
1.29.10,2nd,,-,GREGORIO DEL PILAR (CONCEPCION)
1.29.11,2nd,,5th ,LIDLIDDA
1.29.12,1st,,3rd ,MAGSINGAL
1.29.13,2nd,,5th ,NAGBUKEL
1.29.14,2nd,,2nd ,NARVACAN
1.29.15,2nd,,4th ,QUIRINO (ANGKAKI)
1.29.16,2nd,,4th ,SALCEDO (BAUGEN)
1.29.17,2nd,,4th ,SAN EMILIO
1.29.18,2nd,,5th ,SAN ESTEBAN
1.29.19,1st,,5th ,SAN ILDEFONSO
1.29.20,1st,,4th ,SAN JUAN (LAPOG)
1.29.21,1st,,4th ,SAN VICENTE
1.29.22,2nd,,4th ,SANTA
1.29.23,1st,,5th ,SANTA CATALINA
1.29.24,2nd,,3rd ,SANTA CRUZ
1.29.25,2nd,,3rd ,SANTA LUCIA
1.29.26,2nd,,4th ,SANTA MARIA
1.29.27,2nd,,5th ,SANTIAGO
1.29.28,1st,,4th ,SANTO DOMINGO
1.29.29,2nd,,5th ,SIGAY
1.29.30,1st,,3rd ,SINAIT
1.29.31,2nd,,5th ,SUGPON
1.29.32,2nd,,4th ,SUYO
1.29.33,2nd,,3rd ,TAGUDIN
1.29.34,1st,CC,5th ,CITY OF VIGAN (Capital)
1.33,,,1st ,LA UNION
1.33.1,2nd,,1st ,AGOO
1.33.2,2nd,,3rd ,ARINGAY
1.33.3,1st,,2nd ,BACNOTAN
1.33.4,2nd,,5th ,BAGULIN
1.33.5,1st,,2nd ,BALAOAN
1.33.6,1st,,3rd ,BANGAR
1.33.7,2nd,,1st ,BAUANG
1.33.8,2nd,,5th ,BURGOS
1.33.9,2nd,,4th ,CABA
1.33.10,1st,,4th ,LUNA
1.33.11,2nd,,1st ,NAGUILIAN
1.33.12,2nd,,5th ,PUGO
1.33.13,2nd,,2nd ,ROSARIO
1.33.14,1st,CC,3rd ,ta
1.33.15,1st,,5th ,SAN GABRIEL
1.33.16,1st,,3rd ,SAN JUAN
1.33.17,2nd,,4th ,SANTO TOMAS
1.33.18,1st,,4th ,SANTOL
1.33.19,1st,,4th ,SUDIPEN
1.33.20,2nd,,4th ,TUBAO
1.55,,,1st ,PANGASINAN
1.55.1,1st,,4th ,AGNO
1.55.2,2nd,,3rd ,AGUILAR
1.55.3,1st,CC,5th ,CITY OF ALAMINOS
1.55.4,5th,,4th ,ALCALA
1.55.5,1st,,4th ,ANDA
1.55.6,6th,,3rd ,ASINGAN
1.55.7,6th,,4th ,BALUNGAO
1.55.8,1st,,3rd ,BANI
1.55.9,2nd,,4th ,BASISTA
1.55.10,5th,,4th ,BAUTISTA
1.55.11,3rd,,1st ,BAYAMBANG
1.55.12,5th,,2nd ,BINALONAN
1.55.13,2nd,,2nd ,BINMALEY
1.55.14,1st,,3rd ,BOLINAO
1.55.15,2nd,,3rd ,BUGALLON
1.55.16,1st,,4th ,BURGOS
1.55.17,3rd,,-,CALASIAO
1.55.18,4th,CC,2nd ,DAGUPAN CITY
1.55.19,1st,,4th ,DASOL
1.55.20,1st,,4th ,INFANTA
1.55.21,2nd,,4th ,LABRADOR
1.55.22,2nd,,1st ,LINGAYEN (Capital)
1.55.23,1st,,4th ,MABINI
1.55.24,3rd,,1st ,MALASIQUI
1.55.25,4th,,2nd ,MANAOAG
1.55.26,4th,,1st ,MANGALDAN
1.55.27,2nd,,2nd ,MANGATAREM
1.55.28,3rd,,4th ,MAPANDAN
1.55.29,6th,,4th ,NATIVIDAD
1.55.30,5th,,2nd ,POZORRUBIO
1.55.31,6th,,2nd ,ROSALES
1.55.32,3rd,CC,3rd ,SAN CARLOS CITY
1.55.33,4th,,2nd ,SAN FABIAN
1.55.34,4th,,3rd ,SAN JACINTO
1.55.35,6th,,2nd ,SAN MANUEL
1.55.36,6th,,3rd ,SAN NICOLAS
1.55.37,6th,,4th ,SAN QUINTIN
1.55.38,3rd,,1st ,SANTA BARBARA
1.55.39,6th,,4th ,SANTA MARIA
1.55.40,5th,,5th ,SANTO TOMAS
1.55.41,5th,,3rd ,SISON
1.55.42,1st,,1st ,SUAL
1.55.43,6th,,3rd ,TAYUG
1.55.44,6th,,3rd ,UMINGAN
1.55.45,2nd,,3rd ,URBIZTONDO
1.55.46,5th,CC,2nd ,CITY OF URDANETA
1.55.47,5th,,2nd ,VILLASIS
1.55.48,5th,,4th ,LAOAC
2,,,,REGION II (Cagayan Valley)
2.9,,,5th ,BATANES
2.9.1,lone,,5th ,BASCO (Capital)
2.9.2,lone,,5th ,ITBAYAT
2.9.3,lone,,6th ,IVANA
2.9.4,lone,,6th ,MAHATAO
2.9.5,lone,,5th ,SABTANG
2.9.6,lone,,6th ,UYUGAN
2.15,,,1st ,CAGAYAN
2.15.1,2nd,,4th ,ABULUG
2.15.2,1st,,3rd ,ALCALA
2.15.3,2nd,,3rd ,ALLACAPAN
2.15.4,3rd,,3rd ,AMULUNG
2.15.5,1st,,1st ,APARRI
2.15.6,1st,,1st ,BAGGAO
2.15.7,2nd,,4th ,BALLESTEROS
2.15.8,1st,,4th ,BUGUEY
2.15.9,2nd,,3rd ,CALAYAN
2.15.10,1st,,4th ,CAMALANIUGAN
2.15.11,2nd,,3rd ,CLAVERIA
2.15.12,3rd,,4th ,ENRILE
2.15.13,1st,,1st ,GATTARAN
2.15.14,1st,,2nd ,GONZAGA
2.15.15,3rd,,4th ,IGUIG
2.15.16,1st,,2nd ,LAL-LO
2.15.17,2nd,,3rd ,LASAM
2.15.18,2nd,,4th ,PAMPLONA
2.15.19,3rd,,1st ,PEÑABLANCA
2.15.20,2nd,,4th ,PIAT
2.15.21,2nd,,5th ,RIZAL
2.15.22,2nd,,4th ,SANCHEZ-MIRA
2.15.23,1st,,3rd ,SANTA ANA
2.15.24,2nd,,5th ,SANTA PRAXEDES
2.15.25,1st,,4th ,SANTA TERESITA
2.15.26,2nd,,3rd ,SANTO NIÑO (FAIRE)
2.15.27,3rd,,2nd ,SOLANA
2.15.28,3rd,,2nd ,TUAO
2.15.29,3rd,CC,2nd ,TUGUEGARAO CITY (Capital)
2.31,,,1st ,ISABELA
2.31.1,3rd,,2nd ,ALICIA
2.31.2,3rd,,3rd ,ANGADANAN
2.31.3,2nd,,4th ,AURORA
2.31.4,2nd,,4th ,BENITO SOLIVEN
2.31.5,2nd,,5th ,BURGOS
2.31.6,1st,,2nd ,CABAGAN
2.31.7,3rd,,4th ,CABATUAN
2.31.8,3rd,CC,4th ,CITY OF CAUAYAN
2.31.9,4th,,3rd ,CORDON
2.31.10,4th,,-,DINAPIGUE
2.31.11,1st,,3rd ,DIVILACAN
2.31.12,4th,,1st ,ECHAGUE
2.31.13,2nd,,4th ,GAMU
2.31.14,1st,CC,-,ILAGAN CITY(Capital)
2.31.15,4th,,2nd ,JONES
2.31.16,3rd,,5th ,LUNA
2.31.17,1st,,4th ,MACONACON
2.31.18,1st,,4th ,DELFIN ALBANO (MAGSAYSAY)
2.31.19,2nd,,4th ,MALLIG
2.31.20,2nd,,4th ,NAGUILIAN
2.31.21,1st,,2nd ,PALANAN
2.31.22,2nd,,4th ,QUEZON
2.31.23,2nd,,4th ,QUIRINO
2.31.24,4th,,3rd ,RAMON
2.31.25,3rd,,5th ,REINA MERCEDES
2.31.26,2nd,,2nd ,ROXAS
2.31.27,4th,,-,SAN AGUSTIN
2.31.28,3rd,,4th ,SAN GUILLERMO
2.31.29,4th,,-,SAN ISIDRO
2.31.30,2nd,,-,SAN MANUEL
2.31.31,2nd,,1st ,SAN MARIANO
2.31.32,3rd,,2nd ,SAN MATEO
2.31.33,1st,,3rd ,SAN PABLO
2.31.34,1st,,4th ,SANTA MARIA
2.31.35,4th,ICC,1st ,CITY OF SANTIAGO
2.31.36,1st,,4th ,SANTO TOMAS
2.31.37,1st,,1st ,TUMAUINI
2.50,,,2nd ,NUEVA VIZCAYA
2.50.1,lone,,5th ,AMBAGUIO
2.50.2,lone,,2nd ,ARITAO
2.50.3,lone,,3rd ,BAGABAG
2.50.4,lone,,2nd ,BAMBANG
2.50.5,lone,,2nd ,BAYOMBONG (Capital)
2.50.6,lone,,4th ,DIADI
2.50.7,lone,,3rd ,DUPAX DEL NORTE
2.50.8,lone,,3rd ,DUPAX DEL SUR
2.50.9,lone,,3rd ,KASIBU
2.50.10,lone,,3rd ,KAYAPA
2.50.11,lone,,4th ,QUEZON
2.50.12,lone,,4th ,SANTA FE
2.50.13,lone,,3st ,SOLANO
2.50.14,lone,,5th ,VILLAVERDE
2.50.15,lone,,4th ,ALFONSO CASTANEDA
2.57,,,3rd ,QUIRINO
2.57.1,lone,,4th ,AGLIPAY
2.57.2,lone,,3rd ,CABARROGUIS (Capital)
2.57.3,lone,,3rd ,DIFFUN
2.57.4,lone,,1st ,MADDELA
2.57.5,lone,,-,SAGUDAY
2.57.6,lone,,-,NAGTIPUNAN
3,,,,REGION III (Central Luzon)
3.8,,,1st ,BATAAN
3.8.1,1st,,3rd ,ABUCAY
3.8.2,2nd,,4th ,BAGAC
3.8.3,2nd,CC,4th ,CITY OF BALANGA (Capital)
3.8.4,1st,,1st ,DINALUPIHAN
3.8.5,1st,,2nd ,HERMOSA
3.8.6,2nd,,1st ,LIMAY
3.8.7,2nd,,1st ,MARIVELES
3.8.8,1st,,4th ,MORONG
3.8.9,1st,,1st ,ORANI
3.8.10,2nd,,3rd ,ORION
3.8.11,2nd,,4th ,PILAR
3.8.12,1st,,4th ,SAMAL
3.14,,,1st ,BULACAN
3.14.1,3rd,,2nd ,ANGAT
3.14.2,2nd,,1st ,BALAGTAS (BIGAA)
3.14.3,2nd,,1st ,BALIUAG
3.14.4,2nd,,1st ,BOCAUE
3.14.5,1st,,2nd ,BULACAN
3.14.6,2nd,,3rd ,BUSTOS
3.14.7,1st,,1st ,CALUMPIT
3.14.8,2nd,,1st ,GUIGUINTO
3.14.9,1st,,1st ,HAGONOY
3.14.10,1st,CC,4th ,CITY OF MALOLOS (Capital)
3.14.11,4th,,1st ,MARILAO
3.14.12,4th,CC,-,CITY OF MEYCAUAYAN
3.14.13,3rd,,1st ,NORZAGARAY
3.14.14,4th,,2nd ,OBANDO
3.14.15,2nd,,3rd ,PANDI
3.14.16,1st,,3rd ,PAOMBONG
3.14.17,2nd,,1st ,PLARIDEL
3.14.18,1st,,1st ,PULILAN
3.14.19,3rd,,1st ,SAN ILDEFONSO
3.14.20,lone,CC,2nd ,CITY OF SAN JOSE DEL MONTE
3.14.21,3rd,,1st ,SAN MIGUEL
3.14.22,3rd,,2nd ,SAN RAFAEL
3.14.23,4th,,1st ,SANTA MARIA
3.14.24,3rd,,2nd ,DOÑA REMEDIOS TRINIDAD
3.49,,,1st ,NUEVA ECIJA
3.49.1,1st,,3rd ,ALIAGA
3.49.2,3rd,,3rd ,BONGABON
3.49.3,3rd,CC,1st ,CABANATUAN CITY
3.49.4,4th,,2nd ,CABIAO
3.49.5,2nd,,2nd ,CARRANGLAN
3.49.6,1st,,2nd ,CUYAPO
3.49.7,3rd,,4th ,GABALDON (BITULOK & SABANI)
3.49.8,4th,CC,4th ,CITY OF GAPAN
3.49.9,3rd,,4th ,GENERAL MAMERTO NATIVIDAD
3.49.10,4th,,2nd ,GENERAL TINIO (PAPAYA)
3.49.11,1st,,1st ,GUIMBA
3.49.12,4th,,3rd ,JAEN
3.49.13,3rd,,3rd ,LAUR
3.49.14,1st,,-,LICAB
3.49.15,2nd,,4th ,LLANERA
3.49.16,2nd,,4th ,LUPAO
3.49.17,2nd,CC,5th ,SCIENCE CITY OF MUÑOZ
3.49.18,1st,,-,NAMPICUAN
3.49.19,3rd,CC,5th ,PALAYAN CITY (Capital)
3.49.20,2nd,,-,PANTABANGAN
3.49.21,4th,,4th ,PEÑARANDA
3.49.22,1st,,4th ,QUEZON
3.49.23,2nd,,3rd ,RIZAL
3.49.24,4th,,2nd ,SAN ANTONIO
3.49.25,4th,,4th ,SAN ISIDRO
3.49.26,2nd,CC,3rd ,SAN JOSE CITY
3.49.27,4th,,2nd ,SAN LEONARDO
3.49.28,3rd,,2nd ,SANTA ROSA
3.49.29,1st,,3rd ,SANTO DOMINGO
3.49.30,1st,,1st ,TALAVERA
3.49.31,2nd,,4th ,TALUGTUG
3.49.32,1st,,4th ,ZARAGOZA
3.54,,,1st ,PAMPANGA
3.54.1,1st,HUC,1st ,ANGELES CITY
3.54.2,4th,,1st ,APALIT
3.54.3,3rd,,1st ,ARAYAT
3.54.4,3rd,,4th ,BACOLOR
3.54.5,4th,,1st ,CANDABA
3.54.6,2nd,,1st ,FLORIDABLANCA
3.54.7,2nd,,1st ,GUAGUA
3.54.8,2nd,,1st ,LUBAO
3.54.9,1st,CC,-,MABALACAT CITY
3.54.10,4th,,2nd ,MACABEBE
3.54.11,1st,,2nd ,MAGALANG
3.54.12,4th,,3rd ,MASANTOL
3.54.13,3rd,,1st ,MEXICO
3.54.14,4th,,4th ,MINALIN
3.54.15,2nd,,1st ,PORAC
3.54.16,3rd,CC,2nd ,CITY OF SAN FERNANDO (Capital)
3.54.17,4th,,4th ,SAN LUIS
3.54.18,4th,,3rd ,SAN SIMON
3.54.19,3rd,,4th ,SANTA ANA
3.54.20,2nd,,4th ,SANTA RITA
3.54.21,4th,,4th ,SANTO TOMAS
3.54.22,2nd,,-,SASMUAN (Sexmoan)
3.69,,,1st ,TARLAC
3.69.1,1st,,5th ,ANAO
3.69.2,3rd,,3rd ,BAMBAN
3.69.3,1st,,1st ,CAMILING
3.69.4,3rd,,1st ,CAPAS
3.69.5,3rd,,1st ,CONCEPCION
3.69.6,2nd,,2nd ,GERONA
3.69.7,3rd,,3rd ,LA PAZ
3.69.8,1st,,3rd ,MAYANTOC
3.69.9,1st,,2nd ,MONCADA
3.69.10,1st,,1st ,PANIQUI
3.69.11,1st,,5th ,PURA
3.69.12,1st,,5th ,RAMOS
3.69.13,1st,,5th ,SAN CLEMENTE
3.69.14,1st,,5th ,SAN MANUEL
3.69.15,1st,,3rd ,SANTA IGNACIA
3.69.16,2nd,CC,1st ,CITY OF TARLAC (Capital)
3.69.17,2nd,,3rd ,VICTORIA
3.69.18,2nd,,4th ,SAN JOSE
3.71,,,2nd ,ZAMBALES
3.71.1,2nd,,1st ,BOTOLAN
3.71.2,2nd,,4th ,CABANGAN
